Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients,stress_relief,mood_boost,anxiety_reduction,sleep_improvement,cognitive_function
Soya flour Gobi stuffed paratha,1,"North,West","Breakfast,Lunch,Dinner",Veg,soy ,2 medium,393,235,16.0,24.0,7.0,8.0,0.3945,Cauliflower-15 gms; Onion-15 gms;  Ginger-4 gms; Cumin seeds-4 gms; chillies-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Soya flour-250 gms; Atta-30 gms,0.30308006486601613,0.03321681935635424,0.2210493166963755,0.02894902513507165,0.3008146157688713
DUMPLINGS (Veg),0,East,"Appetizer,Snacks",Veg,soy ,4 medium,255,115,4.0,22.0,1.0,4.0,0.25955,carrot-15 gms; CABBAGE-15 gms; Capsicum-15 gms; mushroom-15 gms; Garlic-7 gms; Ginger-7 gms; soya sauce-15 gms; Gingelly oil-7 gms; Onion-15 gms; Atta-125 gms; Common salt-4 gms; Chili Sauce-15 gms,0.2994116380437494,0.01418275781066479,0.20983749257278672,0.01414940098661029,0.2898684335444209
Baked Vegetables,0,Continental,Appetizer,Veg,soy ,4 small,83,17,0.0,1.0,1.0,0.0,0.1584,Cauliflower-20 gms; carrot-20 gms;Capsicum-20 gms;Black Pepper-4 gms; Common salt-4 gms; Olive oil-15 gms,0.2975019588523068,0.0001937984496124031,0.1985294117647059,0.0002583979328165375,0.2986803882928488
LETTUCE WRAP (Chicken),0,Continental,"Lunch,Dinner",Non-veg,soy ,1 medium,369,214,20.0,10.0,9.0,4.0,0.69985,Lettuce Leaf-20 gms; Chicken-70 gms; Tomato-120 gms; Cucumber-62 gms; Onion-30 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Lemon-15 gms; soya sauce-15 gms; Sesame oil-7 gms,0.30282733928085387,0.029311721869861404,0.2155273321449792,0.022684989429175476,0.3144752370881486
Soya Sizzler,6,Continental,"Lunch,Dinner",Veg,soy ,1 medium,567,305,28.0,21.0,10.0,9.0,0.658,Soyabean-30 gms; Ginger-15 gms;Garlic-15 gms; Cooking oil-7 gms; Capsicum-60 gms; Mushroom-20 gms; Onion-20 gms; Zucchini-20 gms; Tomato-120 gms; Cabbage-200 gms; Common salt-15 gms; Red chilli Powder-15 gms; Ginger powder-15 gms; Black pepper-15 gms; ,0.3105147170938397,0.047115221987315006,0.23146457219251337,0.03828999295278365,0.315555503706396
Fried Rice,5,Continental,"Lunch,Dinner",Veg,soy ,1 small bowl,585,1123,31.0,203.0,18.0,22.0,1.33045,Rice-250 gms; Mustard oil-15 gms; Onion-77 gms; Capsicum-62 gms; carrot-62 gms; Peas-62 gms; Garlic-20 gms; soya sauce-7 gms; Common salt-15 gms; Black pepper-15 gms; ,0.25417905258430196,0.1037148226450552,0.24554203802733215,0.10555579046276721,0.19851689898916236
Soy Milk,12,Continental,Beverages,Veg,soy ,1 cup,125,324,33.0,9.0,17.0,19.0,0.0,Soya bean-125 gms; ,0.319751313620358,0.06413307493540052,0.24398611111111113,0.05271447028423773,0.3318220716851604
Soya Bhurji,2,"North,East,West",Dry Curry,Veg,soy ,4 medium katori,335,138,14.0,10.0,4.0,4.0,0.5235,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms,0.30694259904525023,0.022766267324406862,0.21633481877599525,0.018321353065539114,0.3086870400394013
Chicken sizzler,0,Continental,Appetizer,Non-veg,soy ,1 medium bowl,759,271,9.0,19.0,18.0,13.0,2.46825,Chicken-300 gms; Sunflower oil-15 gms; Garlic-15 gms;  Zucchini-125 gms; Mushroom-125 gms; carrot-125 gms; soya sauce-15 gms; VINEGAR-15 gms; Black pepper-24 gms,0.2851606805538133,0.031555907916373034,0.20591703802733216,0.029510570824524313,0.29835515492818504
Rajma Chaat,11,"North,East,West",Snacks,Veg,soy ,1 medium katori,343,551,36.0,94.0,2.0,2.0,0.2965,RAJMA-250 gms; CUCUMBER-15 gms; Tomato-15 gms; Chillies-4 gms; Coriander leaves-15 gms; Lemon-7 gms; Common salt-7 gms; Chat Masala-15 gms; Cumin Powder-15 gms,0.3008252030123446,0.06026755931407094,0.2398037730243613,0.05324900164435049,0.27796041790823056
Saute Tofu,0,Continental,Appetizer,Veg,soy ,1 medium katori,389,264,22.0,17.0,9.0,7.0,0.7545,Common salt-15 gms; Coriander leaves-15 gms; Tofu-150 gms; Red chilli Powder-15 gms;Onion-125 gms; Garlic-15 gms; Chillies-24 gms; Coriander Powder-15 gms; Turmeric powder-15 gms,0.3049153919501634,0.03701679586563308,0.22291748366013073,0.03011498708010336,0.3099051303055555
CHILLI CHICKEN,6,East,Appetizer,Non-veg,soy ,1 medium katori,374,298,16.0,10.0,20.0,3.0,0.82375,Chicken-60 gms; soya sauce-15 gms; VINEGAR-7 gms; Ginger-15 gms;Garlic-15 gms; Chillies-7 gms; Onion-60 gms; Capsicum-150 gms;  Common salt-15 gms; Coriander leaves-15 gms; ; Olive oil-15 gms,0.27749536431906685,0.023559196617336152,0.19325111408199644,0.01838700963119568,0.30959211009980936
